"","Variable_1","Variable_2","Variable_3","year","count_1","count_2","Number","Rate","upper_ci","lower_ci"
"1","left","small","Location_1","2010",0,0,710.117681394331,3.55058840697166,4.26070608836599,2.84047072557732
"2","left","small","Location_2","2010",0,0,283.187588280998,1.41593794140499,1.69912552968599,1.13275035312399
"3","left","small","Location_3","2010",0,0,319.119625957683,1.59559812978841,1.9147177557461,1.27647850383073
"4","left","small","Location_4","2010",0,0,524.996352638118,2.62498176319059,3.14997811582871,2.09998541055247
"5","left","small","Location_5","2010",0,0,727.865527779795,3.63932763889898,4.36719316667877,2.91146211111918
"6","left","small","Location_6","2010",0,0,105.761049687862,0.528805248439312,0.634566298127174,0.42304419875145
"7","left","small","Location_7","2010",0,0,333.977661817335,1.66988830908667,2.00386597090401,1.33591064726934
"8","left","small","Location_8","2010",0,0,405.986182298511,2.02993091149256,2.43591709379107,1.62394472919405
"9","left","small","Location_9","2010",0,0,105.52203070838,0.5276101535419,0.63313218425028,0.42208812283352
"10","left","small","Location_10","2010",0,0,270.96008239314,1.3548004119657,1.62576049435884,1.08384032957256
"11","left","small","Location_11","2010",0,0,642.192719364539,3.21096359682269,3.85315631618723,2.56877087745816
"12","left","small","Location_12","2010",0,0,605.352910258807,3.02676455129404,3.63211746155284,2.42141164103523
"13","left","small","Location_13","2010",0,0,905.32479560934,4.5266239780467,5.43194877365604,3.62129918243736
"14","left","small","Location_14","2010",0,0,588.741977047175,2.94370988523588,3.53245186228305,2.3549679081887
"15","left","small","Location_15","2010",0,0,392.100729467347,1.96050364733674,2.35260437680408,1.56840291786939
"16","left","small","Location_16","2010",0,0,670.509365922771,3.35254682961386,4.02305619553663,2.68203746369109
"17","left","small","Location_17","2010",0,0,917.117044352926,4.58558522176463,5.50270226611756,3.66846817741171
"18","left","small","Location_18","2010",0,0,944.222366972826,4.72111183486413,5.66533420183696,3.77688946789131
"19","left","small","Location_19","2010",0,0,550.688768853433,2.75344384426717,3.3041326131206,2.20275507541373
"20","left","small","Location_20","2010",0,0,336.51940501295,1.68259702506475,2.0191164300777,1.3460776200518
"21","left","medium","Location_1","2010",0,0,209.672006848268,1.04836003424134,1.25803204108961,0.838688027393073
"22","left","medium","Location_2","2010",0,0,488.49283491727,2.44246417458635,2.93095700950362,1.95397133966908
"23","left","medium","Location_3","2010",0,0,797.028177976608,3.98514088988304,4.78216906785965,3.18811271190643
"24","left","medium","Location_4","2010",0,0,474.762341892347,2.37381170946173,2.84857405135408,1.89904936756939
"25","left","medium","Location_5","2010",0,0,813.570252386853,4.06785126193427,4.88142151432112,3.25428100954741
"26","left","medium","Location_6","2010",0,0,114.788631396368,0.573943156981841,0.688731788378209,0.459154525585473
"27","left","medium","Location_7","2010",0,0,202.213468588889,1.01106734294444,1.21328081153333,0.808853874355555
"28","left","medium","Location_8","2010",0,0,318.541515199468,1.59270757599734,1.91124909119681,1.27416606079787
"29","left","medium","Location_9","2010",0,0,953.144766273908,4.76572383136954,5.71886859764345,3.81257906509563
"30","left","medium","Location_10","2010",0,0,891.847218968906,4.45923609484453,5.35108331381343,3.56738887587562
"31","left","medium","Location_11","2010",0,0,951.833504065871,4.75916752032936,5.71100102439523,3.80733401626349
"32","left","medium","Location_12","2010",0,0,740.238910005428,3.70119455002714,4.44143346003257,2.96095564002171
"33","left","medium","Location_13","2010",0,0,957.453140988946,4.78726570494473,5.74471884593368,3.82981256395578
"34","left","medium","Location_14","2010",0,0,651.09940469265,3.25549702346325,3.9065964281559,2.6043976187706
"35","left","medium","Location_15","2010",0,0,803.991667414084,4.01995833707042,4.8239500044845,3.21596666965634
"36","left","medium","Location_16","2010",0,0,620.701419259422,3.10350709629711,3.72420851555653,2.48280567703769
"37","left","medium","Location_17","2010",0,0,749.247214384377,3.74623607192189,4.49548328630626,2.99698885753751
"38","left","medium","Location_18","2010",0,0,593.0674363859,2.9653371819295,3.5584046183154,2.3722697455436
"39","left","medium","Location_19","2010",0,0,363.947475748137,1.81973737874068,2.18368485448882,1.45578990299255
"40","left","medium","Location_20","2010",0,0,623.984986240976,3.11992493120488,3.74390991744585,2.4959399449639
"41","left","large","Location_1","2010",0,0,645.908579439856,3.22954289719928,3.87545147663914,2.58363431775942
"42","left","large","Location_2","2010",0,0,320.081842457876,1.60040921228938,1.92049105474725,1.2803273698315
"43","left","large","Location_3","2010",0,0,132.691624714062,0.663458123570308,0.79614974828437,0.530766498856246
"44","left","large","Location_4","2010",0,0,330.912463529967,1.65456231764983,1.9854747811798,1.32364985411987
"45","left","large","Location_5","2010",0,0,796.520651015453,3.98260325507727,4.77912390609272,3.18608260406181
"46","left","large","Location_6","2010",0,0,184.357162262313,0.921785811311565,1.10614297357388,0.737428649049252
"47","left","large","Location_7","2010",0,0,773.343717074022,3.86671858537011,4.64006230244413,3.09337486829609
"48","left","large","Location_8","2010",0,0,739.416835363954,3.69708417681977,4.43650101218373,2.95766734145582
"49","left","large","Location_9","2010",0,0,992.773030675016,4.96386515337508,5.9566381840501,3.97109212270007
"50","left","large","Location_10","2010",0,0,338.684652815573,1.69342326407786,2.03210791689344,1.35473861126229
"51","left","large","Location_11","2010",0,0,286.132057826035,1.43066028913017,1.71679234695621,1.14452823130414
"52","left","large","Location_12","2010",0,0,733.34066781681,3.66670333908405,4.40004400690086,2.93336267126724
"53","left","large","Location_13","2010",0,0,547.877163160592,2.73938581580296,3.28726297896355,2.19150865264237
"54","left","large","Location_14","2010",0,0,640.944803599268,3.20472401799634,3.84566882159561,2.56377921439707
"55","left","large","Location_15","2010",0,0,927.929028891958,4.63964514445979,5.56757417335175,3.71171611556783
"56","left","large","Location_16","2010",0,0,520.924830809236,2.60462415404618,3.12554898485541,2.08369932323694
"57","left","large","Location_17","2010",0,0,402.849255455658,2.01424627727829,2.41709553273395,1.61139702182263
"58","left","large","Location_18","2010",0,0,571.383682126179,2.8569184106309,3.42830209275708,2.28553472850472
"59","left","large","Location_19","2010",0,0,137.857122370042,0.68928561185021,0.827142734220251,0.551428489480168
"60","left","large","Location_20","2010",0,0,811.845890805125,4.05922945402563,4.87107534483075,3.2473835632205
"61","right","small","Location_1","2010",0,0,806.778659229167,4.03389329614583,4.840671955375,3.22711463691667
"62","right","small","Location_2","2010",0,0,165.514375921339,0.827571879606694,0.993086255528033,0.662057503685355
"63","right","small","Location_3","2010",0,0,844.536794465967,4.22268397232983,5.0672207667958,3.37814717786387
"64","right","small","Location_4","2010",0,0,456.933961971663,2.28466980985831,2.74160377182998,1.82773584788665
"65","right","small","Location_5","2010",0,0,191.080131521448,0.955400657607242,1.14648078912869,0.764320526085794
"66","right","small","Location_6","2010",0,0,195.482717780396,0.977413588901982,1.17289630668238,0.781930871121585
"67","right","small","Location_7","2010",0,0,209.551480947994,1.04775740473997,1.25730888568796,0.838205923791975
"68","right","small","Location_8","2010",0,0,262.857635645196,1.31428817822598,1.57714581387117,1.05143054258078
"69","right","small","Location_9","2010",0,0,771.226952294819,3.8561347614741,4.62736171376891,3.08490780917928
"70","right","small","Location_10","2010",0,0,419.763213954866,2.09881606977433,2.5185792837292,1.67905285581946
"71","right","small","Location_11","2010",0,0,228.920221026056,1.14460110513028,1.37352132615633,0.915680884104222
"72","right","small","Location_12","2010",0,0,249.906013580039,1.2495300679002,1.49943608148023,0.999624054320157
"73","right","small","Location_13","2010",0,0,541.620743833482,2.70810371916741,3.24972446300089,2.16648297533393
"74","right","small","Location_14","2010",0,0,266.012258571573,1.33006129285786,1.59607355142944,1.06404903428629
"75","right","small","Location_15","2010",0,0,680.906823650002,3.40453411825001,4.08544094190002,2.72362729460001
"76","right","small","Location_16","2010",0,0,156.222178367898,0.781110891839489,0.937333070207387,0.624888713471591
"77","right","small","Location_17","2010",0,0,676.874609803781,3.3843730490189,4.06124765882269,2.70749843921512
"78","right","small","Location_18","2010",0,0,299.187786271796,1.49593893135898,1.79512671763077,1.19675114508718
"79","right","small","Location_19","2010",0,0,712.428121571429,3.56214060785715,4.27456872942857,2.84971248628572
"80","right","small","Location_20","2010",0,0,266.656252136454,1.33328126068227,1.59993751281872,1.06662500854582
"81","right","medium","Location_1","2010",0,0,668.948372872546,3.34474186436273,4.01369023723528,2.67579349149019
"82","right","medium","Location_2","2010",0,0,294.482872728258,1.47241436364129,1.76689723636955,1.17793149091303
"83","right","medium","Location_3","2010",0,0,723.598654381931,3.61799327190965,4.34159192629158,2.89439461752772
"84","right","medium","Location_4","2010",0,0,275.37469479721,1.37687347398605,1.65224816878326,1.10149877918884
"85","right","medium","Location_5","2010",0,0,489.376762975007,2.44688381487504,2.93626057785004,1.95750705190003
"86","right","medium","Location_6","2010",0,0,362.014275486581,1.81007137743291,2.17208565291949,1.44805710194632
